2020-04-17 15:12:40.564| main | INFO |  -  | tableName:tc_p_basic_user_course,columnName:user_id,dataType:-5,dataTypeName:BIGINT,columnSize:19,decimalDigits:0,isNullAble:YES,remarks:用户id,columnDef:null,charOctetLength:0,ordinalPosition:2 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.565| main | INFO |  -  | tableName:tc_p_basic_user_course,columnName:course_id,dataType:-5,dataTypeName:BIGINT,columnSize:19,decimalDigits:0,isNullAble:YES,remarks:科目id,columnDef:null,charOctetLength:0,ordinalPosition:3 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.567| main | INFO |  -  | PK-tableName:tc_p_basic_user_role,columnName:id,pkName:PRIMARY | [com.generator.code.jdbc.JdbcConnect$1:94]
2020-04-17 15:12:40.576| main | INFO |  -  | PK-tableName:tc_p_basic_warn_rule,columnName:id,pkName:PRIMARY | [com.generator.code.jdbc.JdbcConnect$1:94]
2020-04-17 15:12:40.582| main | INFO |  -  | tableName:tc_p_basic_warn_rule,columnName:unit,dataType:4,dataTypeName:INT,columnSize:10,decimalDigits:0,isNullAble:YES,remarks:单位：天,columnDef:null,charOctetLength:0,ordinalPosition:4 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.585| main | INFO |  -  | PK-tableName:tc_p_card,columnName:id,pkName:PRIMARY | [com.generator.code.jdbc.JdbcConnect$1:94]
2020-04-17 15:12:40.591| main | INFO |  -  | tableName:tc_p_card,columnName:exam_id,dataType:-5,dataTypeName:BIGINT,columnSize:19,decimalDigits:0,isNullAble:YES,remarks:考试id,columnDef:null,charOctetLength:0,ordinalPosition:3 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.592| main | INFO |  -  | tableName:tc_p_card,columnName:card_code,dataType:12,dataTypeName:VARCHAR,columnSize:100,decimalDigits:0,isNullAble:YES,remarks:题卡code,columnDef:null,charOctetLength:100,ordinalPosition:4 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.592| main | INFO |  -  | tableName:tc_p_card,columnName:course_code,dataType:12,dataTypeName:VARCHAR,columnSize:30,decimalDigits:0,isNullAble:YES,remarks:科目code,columnDef:null,charOctetLength:30,ordinalPosition:5 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.593| main | INFO |  -  | tableName:tc_p_card,columnName:title,dataType:12,dataTypeName:VARCHAR,columnSize:100,decimalDigits:0,isNullAble:YES,remarks:标题,columnDef:null,charOctetLength:100,ordinalPosition:7 | [com.generator.code.jdbc.JdbcConnect$1:139]
